Uid1	Uid2	P2_MSA_depth	P1_MSA_depth	paired_MSA_depth
P20700	Q3KSP2	22	2047	0
P06429	P20807	2047	422	0
M0QTU7	P20809	280	2047	0
P20839	P24835	1140	2047	3
P06932	P20930	2047	888	0
P04601	P20963	943	2047	0
P18092	P20963	816	2047	0
P20963	Q02840	2047	816	0
O41962	P21333	2047	2047	1023
P03129	P21333	2047	758	0
P06428	P21333	2047	632	1
P21333	P88988	32	2047	0
P03087	P21579	2047	428	0
P06428	P21589	2047	1094	2
A8MUS3	P21605	2047	2047	514
B8ZZN6	P21605	2047	2047	881
P04288	P21673	2047	110	2
P06428	P21673	2047	1093	1
P21673	P69722	2047	2047	0
P03120	P21675	2047	1843	1
P03122	P21675	2047	1831	1
P03255	P21675	2047	181	0
P04608	P21675	2047	2047	0
P0DOE7	P21796	2047	29	0
O41931	P21860	2047	23	0
A6YJF2	P21912	2047	106	1
F5CGQ0	P21912	2047	185	1
P21912	P24835	683	2047	3
P21912	Q0A2H0	184	2047	1
P21912	Q0A2H1	79	2047	1
P21912	Q20MH4	104	2047	1
P21912	Q2PJP0	212	2047	1
P21912	Q2PJP1	71	2047	1
P21912	Q3SBS5	83	2047	1
P21912	Q6DP93	189	2047	1
P21912	Q6DP94	67	2047	1
P21912	Q6DPA0	67	2047	1
P21912	Q6VE52	207	2047	1
P21912	R9WKI0	81	2047	1
P03129	P21980	2047	324	0
P04020	P21980	2047	770	0
P22087	Q773G3	122	2047	0
P0C6Z1	P22105	2047	12	0
P06427	P22234	2047	1117	2
P03120	P22314	2047	1843	1
P04015	P22314	2047	1855	1
P06422	P22314	2047	1702	1
P06423	P22314	2047	1988	2
P06921	P22314	2047	1883	2
P22314	P36778	1178	2047	1
P22314	P36780	1546	2047	1
P22314	Q77UU1	1289	2047	2
P22362	P24766	65	2047	0
P22362	Q9DHV5	2047	2047	1023
P06430	P22415	2047	433	0
P22626	Q1HVI8	49	2047	1
A0A288CFT1	P22674	2047	1825	0
P08393	P22681	2047	2047	68
P06788	P22692	2047	691	0
P22695	P24835	682	2047	2
P03120	P22736	2047	1843	1
P04015	P22736	2047	1855	1
P06422	P22736	2047	1702	1
P06423	P22736	2047	1988	2
P06921	P22736	2047	1883	2
P12977	P22736	2047	73	0
P22736	P24830	1678	2047	1
P22736	P36778	1178	2047	1
P22736	P36780	1546	2047	1
P22736	P36791	1165	2047	1
P22736	Q69022	42	2047	0
P22736	Q69138	44	2047	0
P22736	Q77UU1	1640	2047	1
O09234	P23025	2047	2047	12
P17367	P23025	2047	2047	144
H9XIJ5	P23141	2047	718	3
P23141	Q1K9H5	1635	2047	0
P23141	Q1K9H6	718	2047	3
P03126	P23142	2047	1133	1
P17367	P23246	2047	2047	164
P23246	Q1HVI8	20	2047	1
P04591	P23284	2047	2047	1
P23284	Q02843	2047	2047	1
P23284	Q8JSN8	1670	2047	0
A0A1B0GTL5	P23372	31	2047	0
A0A2R8Y5A3	P23372	50	2047	0
K7EQ78	P23372	50	2047	0
P23381	P36801	1108	2047	2
P06428	P23396	2047	1093	1
P23396	P36801	1107	2047	1
P23396	P36827	248	2047	0
P23396	Q8JSN8	1671	2047	0
P23458	Q9EMA9	114	2047	0
P03410	P23497	2047	88	0
P03496	P23497	2047	205	0
P0C206	P23497	2047	30	0
P23497	Q04360	51	2047	0
P23497	Q1HVH2	30	2047	0
P23497	Q1HVI8	20	2047	1
P23497	Q85601	46	2047	0
P23508	P88992	223	1703	1
P23508	Q0NJW0	176	1702	0
B4URF6	P23526	2047	871	0
P0DOE7	P23528	2047	33	0
P03129	P23588	2047	758	0
P04601	P23771	2047	2047	0
P18378	P24001	459	385	333
O41949	P24043	2047	50	0
P03070	P24278	2047	532	15
P03129	P24278	2047	324	0
P06821	P24278	2047	186	0
P06932	P24278	2047	455	0
P0DOF8	P24278	2047	189	0
P24278	Q20MD2	234	2047	0
P24278	Q20MD5	189	2047	0
P03204	P24385	2047	810	155
P06465	P24385	2047	947	0
P24385	Q9QLP4	804	2047	0
O09234	P24534	2047	2047	16
P06428	P24534	2047	1093	1
P17367	P24539	2047	2047	144
P0DOE7	P24666	2047	29	0
F8VZQ9	P24766	65	2047	0
H3BSR6	P24766	19	678	0
A0A0D9SGF6	P24830	1678	2047	1
A0A0U1RQC9	P24830	1678	2047	1
A0A499FI48	P24830	1326	2047	2
A0A6E1WCP9	P24830	1325	2047	1
A0A6Q8PGK1	P24830	1325	2047	1
E7EMB3	P24830	1325	2047	1
H3BSP9	P24830	1677	461	0
P24830	X6R8F3	2047	1677	0
D6REE5	P24835	682	2047	2
D6RFN0	P24835	682	2047	2
E9PDI4	P24835	681	902	1
E9PF18	P24835	682	2047	2
H0YMD1	P24835	682	2047	2
I3L0L0	P24835	1139	2047	2
P24835	U3KQ56	2047	682	2
P24835	X6R8A1	2047	682	2
P24835	X6RAY8	2047	683	3
P03204	P24864	2047	469	163
P03433	P24928	2047	647	0
P04608	P24928	2047	2047	0
P18098	P24928	2047	2047	0
P24928	Q1I2B2	703	2047	0
P24928	Q88939	2	2047	0
P24928	Q8JSN5	701	2047	0
B1AK44	P24935	10	2047	0
P03129	P24941	2047	324	0
P25024	P29996	577	2047	5
P10191	P25101	2047	48	0
P06465	P25106	2047	947	0
P25311	Q6J8G2	2047	2047	0
P25311	Q9WC28	1337	2047	0
P06428	P25398	2047	1093	1
P06477	P25398	2047	162	0
P25440	Q6J8G2	2047	2047	31
P25440	Q9WC28	2047	2047	17
P03089	P25490	2047	290	0
A0A2Z5X739	P25685	2047	1755	3
H9XIJ5	P25685	2047	715	0
P04601	P25685	2047	2047	2
P06429	P25685	2047	862	0
P06788	P25685	2047	691	0
P06930	P25685	2047	1086	1
P06932	P25685	2047	888	0
P18099	P25685	2047	55	0
P25685	P59634	56	2047	0
P25685	Q1HVI8	49	2047	1
P25685	Q1K9H6	715	2047	0
P25685	Q8JSN5	651	2047	0
P14079	P25786	2047	106	0
P04608	P25787	2047	2047	0
P06422	P25787	2047	1702	1
P06423	P25787	2047	1988	2
P06921	P25787	2047	1883	2
P25787	P36780	1897	2047	1
P25787	P59636	13	2047	0
P03189	P25788	2047	71	0
P03203	P25788	2047	56	0
P03204	P25788	2047	473	169
P03211	P25788	2047	412	25
P0C705	P25788	2047	180	0
P0C742	P25788	2047	19	0
P12977	P25788	2047	73	0
P25788	Q1HVG4	110	2047	22
P25788	Q1HVH8	71	2047	0
P25788	Q1HVI8	49	2047	1
P25788	Q69022	42	2047	0
P25788	Q69140	826	2047	116
P25788	Q8AZK7	50	2047	1
P04608	P25789	2047	2047	0
P03129	P25791	2047	758	0
P03087	P25942	2047	428	0
A0A097PIH4	P25963	2047	2047	14
O09234	P25963	2047	2047	13
P14335	P25963	2047	2047	14
P25963	Q9E7P0	2047	2047	13
P25963	Q9J0X9	65	2047	0
P03126	P26045	2047	675	2
P06463	P26045	2047	682	3
P06930	P26045	2047	1086	1
P03410	P26196	2047	88	0
P26373	P36801	1107	2047	1
P26373	Q1HVI8	49	2047	1
P26572	P36801	642	2047	1
P0C6Z9	P26599	2047	32	0
P26599	Q1HVI8	20	2047	1
P06423	P26641	2047	1987	1
P06921	P26641	2047	1534	1
P10204	P26641	2047	25	0
P26641	P36778	1525	2047	1
P26641	P36780	1897	2047	1
P03087	P26842	731	292	0
P27105	Q8JSN8	871	2047	0
K7EQ78	P27311	60	2047	0
B8ZZN6	P27313	290	2047	0
A0A288CFT1	P27348	2047	1825	0
P04601	P27361	2047	2047	0
P27448	P59636	10	2047	0
P06429	P27449	2047	422	0
P23372	P27449	2047	31	0
P27449	P29996	574	2047	0
A6YJF2	P27540	2047	78	0
P27540	Q0A2H1	105	2047	0
P27540	Q20MH4	79	2047	0
P27540	Q2PJP1	70	2047	0
P27540	Q3SBS5	82	2047	0
P27540	Q6DPA0	66	2047	0
P06428	P27635	2047	1093	1
P06465	P27635	2047	947	0
P27635	P36801	642	2047	1
P27635	Q1HVI8	20	2047	1
P03116	P27694	2047	1140	1
P27694	P88981	187	2047	0
P27694	Q1HVF7	2047	2047	683
P27694	Q89268	2047	2047	30
O92835	P27708	2047	2047	26
P03129	P27708	2047	324	0
P04499	P27708	2047	198	0
P27708	Q1HVI8	20	2047	1
O09720	P27797	2047	202	0
P06932	P27797	2047	888	0
P14079	P27797	2047	106	0
P27797	P36801	1106	2047	0
P27797	P36827	692	2047	0
P27797	Q76R62	2047	2047	1
P27797	Q786F3	496	2047	1
O09720	P27824	2047	202	0
P03087	P27824	2047	292	0
P27824	Q6SVZ5	13	2047	0
P27824	Q786F3	639	2047	1
P27824	Q89027	480	2047	6
A4ZNR3	P27986	2047	184	0
F5CGQ0	P27986	2047	206	0
O92551	P27986	2047	205	0
P04601	P27986	2047	2047	0
P27986	Q0A2H0	206	2047	0
P27986	Q20MH3	183	2047	0
P27986	Q2PJP0	211	2047	0
P27986	Q3SBS4	205	2047	0
P27986	Q6DP93	214	2047	0
P27986	Q6QT26	214	2047	0
P27986	Q6VE52	206	2047	0
P27986	Q81870	80	2047	0
P04608	P28062	2047	2047	0
P28062	Q69027	947	2047	2
P06927	P28067	2047	93	0
P28067	Q1HVH9	236	2047	23
P04601	P28070	2047	2047	0
P28070	Q6J8G2	1498	2047	24
P28070	Q9WC28	2047	2047	16
P04608	P28072	2047	2047	0
P28072	Q1HVI8	49	2047	1
P04608	P28074	2047	2047	0
P06428	P28074	2047	1093	1
P28074	P88980	121	2047	0
P03087	P28221	2047	428	0
P28290	P88991	2047	1863	0
P28562	Q80HW9	61	2047	16
P03211	P28676	2047	406	9
P28676	Q69022	40	2047	0
P06428	P28702	2047	632	1
E7BBT6	P28749	2047	338	0
J9Z5B4	P28749	2047	254	0
P03129	P28749	2047	758	0
P06429	P28749	2047	862	0
P06430	P28749	2047	870	0
P06788	P28749	2047	691	0
P28749	Q80908	459	2047	0
A0A0C7TA99	P28799	2047	49	0
P03186	P28799	2047	157	15
P03188	P28799	2047	625	0
P03199	P28799	2047	7	0
P03205	P28799	2047	61	22
P03208	P28799	2047	22	0
P04608	P28799	2047	2047	0
P0C6Z1	P28799	2047	12	0
P0C763	P28799	2047	620	0
P0CK48	P28799	2047	64	1
P18098	P28799	2047	2047	0
P28799	P68345	8	2047	0
P28799	Q1H8W6	2047	2047	5
P28799	Q1HVB5	7	2047	0
P28799	Q1HVB8	151	2047	1
P28799	Q1HVG2	79	2047	27
P28799	Q1HVH9	469	2047	39
P28799	Q3KSP2	22	2047	0
P28799	Q88489	2047	2047	12
P28799	Q8AZJ3	5	2047	0
P06427	P28838	2047	654	1
P28838	Q80HW9	1862	2047	0
P29033	P29996	671	2047	0
P06463	P29074	2047	682	3
P04608	P29083	1635	2047	0
P29083	Q69022	42	2047	0
P04608	P29084	2047	2047	0
P19811	P29084	2047	858	0
P29084	Q69022	42	2047	0
O41947	P29122	2047	95	0
P29128	Q5SQ11	1805	2047	681
O41969	P29144	2047	151	1
P29218	Q81983	0	2047	0
M0QVI9	P29320	2047	58	2
P29320	Q8JSN8	871	2047	0
P06428	P29350	2047	632	1
P03077	P29353	2047	278	2
P06428	P29353	2047	632	1
P06788	P29353	2047	244	0
P29375	P89653	7	2047	2
P24835	P29400	2047	682	2
P29401	Q8JSN5	651	2047	0
P14079	P29474	2047	61	0
F5HCM1	P29590	2047	29	0
O73557	P29590	2047	119	0
P04489	P29590	2047	33	0
P04019	P29597	2047	674	1
P06463	P29597	2047	682	3
P29597	Q88489	2047	2047	85
P29692	Q1I2B2	648	2047	0
P10191	P29992	2047	142	0
A0A158RFT9	P29996	574	29	0
A1A4W1	P29996	671	2047	0
P29996	Q0VGD7	2047	671	0
P29996	Q6AZW6	2047	671	0
P29996	Q7Z6L4	2047	671	0
P29996	Q8IV39	2047	672	2
P29996	Q8WUQ0	2047	574	0
P29996	Q9BT39	611	574	0
O56232	P30038	2047	14	0
P03129	P30041	2047	324	0
P30047	Q8JSN5	701	717	0
A0A097PIH4	P30050	2047	2047	16
O09234	P30050	2047	2047	15
P06427	P30050	2047	1115	0
P06932	P30050	2047	888	0
P30050	P36817	861	2047	0
P30050	Q1HVI8	49	2047	1
P30050	Q9QLP4	359	2047	0
P30085	Q8JSN5	701	2047	0
P30086	Q9WC28	2047	2047	17
P04015	P30101	2047	1355	1
P06921	P30101	2047	1883	2
P30101	Q77UU1	1641	2047	2
P03083	P30153	2047	337	6
P03129	P30153	2047	324	0
P30153	Q77IQ3	419	2047	16
P04608	P30281	2047	2047	0
P08393	P30281	2047	2047	458
P14079	P30281	2047	106	0
P30305	P36801	642	2047	1
A0A288CFT1	P30307	2047	1825	0
P06428	P30408	2047	1092	0
P06930	P30408	2047	1085	0
P04601	P30419	2047	2047	0
P30520	Q8JSN8	1661	2047	0
P03087	P30530	2047	292	0
P29996	P30530	2047	581	14
P30533	P36817	861	1309	0
P10204	P30536	2047	25	0
O41954	P30622	2047	143	0
P14335	P30622	2047	2047	16
P03211	P30626	2047	410	14
P06788	P30626	2047	244	0
P30626	P36817	861	2047	0
P30626	Q69022	42	2047	0
P03129	P30740	2047	758	0
D2E1L9	P30876	2047	2047	780
H9XIJ5	P30876	2047	715	0
P31025	Q80HW9	45	749	0
A0A097PIH4	P31146	2047	2047	17
O09234	P31146	2047	2047	16
P10204	P31151	1974	51	0
P31151	Q80HW9	45	681	0
P31249	Q2Q067	16	2047	0
P10204	P31260	2047	25	0
P03120	P31274	2047	1337	1
P06422	P31274	2047	1554	1
P06423	P31274	2047	1988	2
P06921	P31274	2047	1535	2
P24830	P31274	2047	1325	1
P31274	P36778	1525	2047	1
P31274	P36780	1897	2047	1
P06930	P31431	1695	1085	0
P03129	P31689	2047	324	0
P31749	Q83730	2047	2047	1023
P06788	P31930	2047	244	0
P31941	P69722	2047	1796	0
P03129	P31943	2047	324	0
P03134	P31946	2047	545	26
P06428	P31946	2047	632	1
P06428	P31947	2047	632	1
P0C763	P31947	2047	620	0
P31949	P36801	641	2047	0
P03087	P32239	2047	292	0
P06428	P32242	2047	1093	1
P32243	Q2Q067	13	2047	0
P06428	P32519	2047	1093	1
P06430	P32519	2047	870	0
P04608	P32780	2047	2047	0
P06428	P32942	2047	631	0
P03129	P32969	2047	324	0
P04601	P33681	2047	2047	0
P03433	P33992	2047	647	0
P33992	P36817	861	2047	0
P33992	Q89268	652	2047	41
P03126	P33993	2047	675	2
P03433	P33993	2047	647	0
P04019	P33993	2047	674	1
P06428	P33993	2047	1093	1
P06462	P33993	2047	1094	1
P06463	P33993	2047	682	3
P26555	P33993	2047	644	1
P33993	Q89268	652	2047	41
P03087	P34096	1596	292	0
O41946	P34741	1301	17	0
P10191	P34903	2047	142	0
O41957	P34932	2047	38	0
P34932	Q69027	947	2047	2
P34949	Q1K9H2	232	2047	0
A0A288CFT1	P35125	2047	1825	0
P06430	P35219	2047	433	0
P06932	P35219	2047	455	0
P06930	P35221	2047	1086	1
P17367	P35221	2047	2047	182
P35221	Q02840	2047	2047	0
P35222	P88980	121	2047	0
P06930	P35232	2047	624	2
P35232	Q89268	654	2047	37
P03126	P35250	2047	676	3
A0A097PIH4	P68871	2047	2047	1
O09234	P68871	2047	2047	1
P03186	P68871	2047	251	16
P68871	Q1HVH9	470	2047	36
B0QYD3	P69722	2047	2047	0
P10204	P69892	2047	51	0
A0A097PIH4	P69905	2047	2047	1
O09234	P69905	2047	2047	1
P03275	P78310	2047	591	8
P36711	P78310	2047	894	11
P06429	P78330	2047	422	0
P11158	P78344	2047	2047	1023
P78347	Q8JSN5	701	2047	0
P78347	Q8JSN8	871	2047	0
O92551	P78352	2047	205	0
P03126	P78352	2047	675	2
P06463	P78352	2047	682	3
P78352	Q0A2H0	183	2047	0
P78352	Q2PJP0	211	2047	0
P78352	Q6DP93	188	2047	0
P78352	Q6QT26	188	2047	0
P78352	Q6VE52	206	2047	0
P78362	Q1HVF7	2047	2047	963
P03129	P78371	2047	758	0
P29996	P78381	2047	671	0
P78381	Q6J8G2	2047	2047	22
P78381	Q9WC28	2047	2047	16
P03120	P78383	2047	1843	1
P06463	P78385	2047	682	3
P36799	P78385	2047	651	2
P36801	P78385	2047	642	1
P04608	P78396	2047	2047	0
P06932	P78417	2047	455	0
P78504	Q88489	2047	2047	11
P78524	Q8JSN8	1648	2047	0
P78543	Q8JSN5	701	2047	0
P78543	Q8JSN8	1669	2047	0
P24835	P78545	2047	1139	2
P78559	Q8JSN5	701	2047	0
P14079	P78560	859	61	0
P06422	P80188	2047	1701	0
P06921	P80188	2047	1881	0
P36778	P80188	2047	1524	0
P36780	P80188	1296	1545	0
P03186	P80303	1318	251	13
P80303	Q1HVH9	466	1336	35
P80723	Q8JSN5	651	190	0
P03433	P81877	2047	647	0
A0A097PIH4	P82094	2047	2047	11
O09234	P82094	2047	2047	10
P06428	P82912	2047	631	0
P03255	P82932	2047	251	0
P03410	P82932	2047	88	0
P14079	P82932	2047	106	0
P06477	P82980	2047	60	0
O09234	P83731	2047	2047	13
P04608	P83731	2047	2047	0
P06428	P83731	2047	632	1
P36801	P83731	2047	642	1
P04608	P84022	2047	2047	0
P06428	P84022	2047	632	1
P06930	P84022	2047	623	1
P0DOE7	P84022	2047	33	0
P36801	P84022	2047	642	1
P84022	Q80907	643	2047	1
P04601	P84077	2047	2047	0
P36810	P84077	2047	1079	1
P36801	P84098	2047	1107	1
P03317	P84103	2047	2047	735
P08411	P84103	2047	2047	58
P10238	P84103	2047	64	0
P84103	Q1H8W6	2047	2047	316
P84157	Q8JSN5	651	471	0
P84157	Q8JSN8	871	471	0
P10230	P98066	2047	93	0
P0CK48	P98095	2047	64	1
P59634	P98161	2047	56	0
P24835	P98170	2047	682	2
P29996	P98172	2047	574	0
P0DOT5	P98179	2047	1590	0
P06429	P99999	2047	862	0
Q00013	Q9WC28	1340	2047	18
Q00169	Q8JSN8	871	2047	0
P06428	Q00325	2047	632	1
P36801	Q00325	2047	642	1
A0A288CFT1	Q00403	2047	1618	0
P03120	Q00403	2047	1843	1
P03122	Q00403	2047	1311	1
P04608	Q00403	2047	2047	0
Q00403	Q69022	40	2047	0
Q00403	Q69027	1111	2047	1
P14079	Q00534	2047	61	0
Q00534	Q01043	2047	2047	1023
P14075	Q00536	2047	1608	934
P03072	Q00577	2047	2047	3
P04608	Q00577	2047	2047	0
P06428	Q00587	1684	1092	0
Q00610	Q1HVI8	20	2047	1
Q00839	Q1HVI8	20	2047	1
P10191	Q01081	2047	48	0
O41946	Q01082	2047	17	0
O41970	Q01082	2047	140	0
P88993	Q01082	2047	28	0
P88987	Q01085	2047	3	0
P03129	Q01094	2047	758	0
P04020	Q01094	2047	770	0
P06464	Q01094	2047	783	0
P68951	Q01105	2047	162	0
Q01105	Q1HVI8	20	2047	1
Q01130	Q1K9H2	285	2047	0
Q01534	Q2KRY7	36	2047	0
P06930	Q01628	1897	622	0
P06428	Q01664	2047	1093	1
P03129	Q01813	2047	324	0
P06427	Q01813	2047	655	2
P06428	Q01813	2047	633	2
P03410	Q01844	2047	48	0
P10204	Q01844	2047	25	0
P14079	Q01844	2047	61	0
Q01844	Q1H8W6	2047	2047	189
P10191	Q01850	910	48	0
P24772	Q01850	2047	177	0
J9Z5B4	Q01860	2047	254	0
P03129	Q01860	2047	758	0
P03255	Q01860	2047	251	0
Q01892	Q69022	42	2047	0
Q01955	Q80HW9	1494	2047	0
P03129	Q01970	2047	758	0
Q02246	Q8JSN5	651	2047	0
P29996	Q02297	2047	574	0
H9XIJ5	Q02388	2047	672	0
P10204	Q02750	2047	25	0
P19811	Q02809	2047	859	0
P03215	Q02818	1243	85	0
P0CK48	Q02818	2047	126	1
Q02818	Q1HVE9	103	2047	0
Q02846	Q8JSN8	1654	2047	0
A0A097PIH4	Q02878	2047	2047	13
O09234	Q02878	2047	2047	12
P03129	Q02878	2047	324	0
P06428	Q02878	2047	1093	1
P06429	Q02878	2047	862	0
P06930	Q02878	2047	623	1
P14079	Q02878	2047	61	0
P36799	Q02878	2047	651	2
P36801	Q02878	2047	642	1
P36827	Q02878	2047	248	0
O41952	Q03001	2047	13	0
O41970	Q03001	2047	76	0
P88986	Q03001	2047	25	0
Q03001	Q1I2B2	648	2047	0
Q03060	Q69027	1111	2047	2
P14335	Q03112	2047	2047	8
P0DOE7	Q03135	2047	33	0
P29996	Q03135	1378	574	0
Q03154	Q6J8G2	1502	2047	31
Q03154	Q9WC28	1340	2047	17
P68710	Q03252	2047	41	0
P03206	Q04206	2047	24	0
P06429	Q04206	2047	422	0
Q04446	Q6J8G2	1500	2047	24
Q04446	Q9WC28	1340	2047	17
P06788	Q04637	2047	244	0
Q04637	Q3ZK63	91	2047	1
P29996	Q04671	2047	574	0
P04608	Q04721	2047	2047	0
P04601	Q04759	2047	2047	0
Q04837	Q1HVI8	49	2047	1
P03129	Q04864	2047	758	0
P04020	Q04864	2047	770	0
P06430	Q04864	2047	433	0
P06464	Q04864	2047	338	0
P06788	Q04864	2047	244	0
P06932	Q04864	2047	455	0
Q04864	Q2KRY7	56	2047	0
P31621	Q04912	2047	1169	477
A0A288CFT1	Q04917	2047	1618	0
P03126	Q05086	2047	675	2
P06427	Q05086	2047	654	1
P06462	Q05086	2047	1094	1
P06463	Q05086	2047	1139	3
P06931	Q05086	2047	120	1
P23372	Q05086	2047	31	0
Q05086	Q77UU2	637	2047	1
P03410	Q05516	2047	48	0
P04020	Q05516	2047	324	0
P23372	Q05BQ5	2047	50	0
Q05D60	Q1HVI8	20	1332	0
Q06033	Q91NH1	2047	2047	20
Q06278	Q6J8G2	1502	2047	30
Q06278	Q9WC28	1340	2047	16
A0A1P7U033	Q06330	2047	22	0
P03203	Q06330	2047	56	0
P03204	Q06330	2047	464	112
P12977	Q06330	2047	73	0
P12978	Q06330	2047	1746	9
Q06330	Q1HVG4	110	2047	16
Q06330	Q69022	40	2047	0
Q06330	Q69138	44	2047	0
Q06330	Q69140	812	2047	65
Q06330	Q76R61	1405	2047	1
Q06330	Q9Q2P0	15	2047	0
P03087	Q06418	2047	292	0
P06930	Q06481	2047	623	1
Q06481	Q80HW9	1496	2047	2
Q06481	Q8JSN8	1669	2047	0
P03431	Q06547	2047	869	0
Q06547	Q20MC8	871	2047	0
P03129	Q06587	2047	324	0
P06932	Q06587	2047	888	0
P10215	Q06609	2047	56	0
P14079	Q06609	2047	61	0
A0A097PIH4	Q06787	2047	2047	13
O09234	Q06787	2047	2047	12
P06429	Q06787	2047	422	0
P04608	Q06889	2047	2047	0
Q07020	Q1HVI8	20	2047	1
P03211	Q07021	769	405	7
P03267	Q07021	2047	145	0
P04608	Q07021	765	2047	0
P04618	Q07021	765	2047	0
P06422	Q07021	2047	1702	1
P06921	Q07021	2047	1882	1
P10238	Q07021	2047	85	0
Q07021	Q1HVF7	2047	2047	201
P06428	Q07065	2047	1092	0
P04618	Q07666	2047	2047	0
P23372	Q07666	2047	50	0
Q07666	Q1HVI8	20	2047	1
Q07666	Q1K9H2	232	2047	0
P03346	Q07687	2047	2047	808
P04492	Q07812	2047	55	0
P24356	Q07812	2047	32	0
Q07812	Q6SW94	31	2047	0
F5CGQ0	Q07817	2047	206	0
P04015	Q07817	2047	1855	1
P06422	Q07817	2047	1702	1
P06423	Q07817	2047	1987	1
P06921	Q07817	2047	1882	1
P24830	Q07817	2047	1325	1
P36778	Q07817	2047	1525	1
P36780	Q07817	2047	1897	1
P59635	Q07817	2047	458	0
P59637	Q07817	2047	95	1
P88995	Q07817	2047	30	3
P89653	Q07817	2047	8	3
Q07817	Q0A2H0	183	2047	0
Q07817	Q20MH3	183	2047	0
Q07817	Q6VE52	206	2047	0
P59635	Q07820	1576	459	0
Q07866	Q8JSN8	871	2047	0
P04608	Q07954	2047	2047	0
P03120	Q07955	2047	1337	1
P04015	Q07955	2047	1855	1
P06422	Q07955	2047	1554	1
P06423	Q07955	2047	1498	2
P06921	Q07955	2047	1535	2
P36778	Q07955	2047	1178	1
P36780	Q07955	2047	1546	1
Q07955	Q1HVF7	2047	2047	1023
Q07955	Q1HVI8	20	2047	1
Q07955	Q77UU1	1288	2047	1
P03129	Q08050	2047	324	0
P03129	Q08117	2047	324	0
P03211	Q08117	2047	404	2
P06428	Q08117	2047	1093	1
P06429	Q08117	2047	862	0
Q08117	Q2KRY7	56	2047	0
P06927	Q08174	2047	93	0
Q08174	Q9ICL0	3	2047	0
P04591	Q08211	2047	2047	0
P21605	Q08211	2047	1885	1023
Q08211	Q1HVI8	20	2047	1
O41957	Q08379	2047	38	0
O41966	Q08379	2047	6	0
P0C6Z9	Q08379	2047	32	0
P0C763	Q08379	2047	397	0
P0CK48	Q08379	2047	64	1
P10218	Q08379	2047	50	0
P12848	Q08379	2047	2047	1023
P14357	Q08379	2047	73	0
P32888	Q08379	2047	64	0
Q07275	Q08379	2047	56	0
Q08379	Q1HVB8	151	2047	1
Q08379	Q1HVG4	140	2047	14
Q08379	Q20MD0	183	2047	0
Q08379	Q8JSN8	1663	2047	0
P13285	Q08380	2047	18	0
Q08380	Q1HVJ2	18	2047	0
P24835	Q08397	2047	682	2
Q08477	Q76R62	2047	2047	1
M0QUZ1	Q08708	2047	55	0
J9Z5B4	Q08999	2047	183	0
P03129	Q08999	2047	758	0
P04608	Q08999	2047	2047	0
P06464	Q08999	2047	783	0
A6YJF2	Q08AM6	2047	105	0
Q08AM6	Q0A2H1	78	2047	0
Q08AM6	Q20MH4	79	2047	0
Q08AM6	R9WKI0	80	2047	0
P06428	Q08ER8	2047	631	0
P36799	Q09161	2047	651	2
A0A288CFT1	Q09472	2047	1618	0
P03073	Q09472	2047	476	21
P03122	Q09472	2047	1831	1
P03126	Q09472	2047	1134	2
P03129	Q09472	2047	758	0
P03255	Q09472	2047	181	0
P03259	Q09472	2047	120	0
P04019	Q09472	2047	1134	1
P04020	Q09472	2047	324	0
P04608	Q09472	2047	2047	0
P06462	Q09472	2047	635	1
P06463	Q09472	2047	682	3
P06921	Q09472	2047	1535	2
Q09472	Q4U0X7	48	2047	0
Q09472	Q69022	40	2047	0
Q09472	Q76QC2	28	2047	0
P06927	Q09666	2047	125	0
Q09666	Q9ICL0	3	2047	0
P14335	Q0IIN9	5	2047	0
P06429	Q0P5N6	2047	862	0
Q0VD86	Q2KRY7	321	455	265
P29996	Q0VDE8	170	671	0
P04601	Q10567	2047	2047	0
P03087	Q10589	1706	428	0
P29996	Q11201	2047	671	0
P06930	Q12796	733	1085	0
P03428	Q12800	2047	672	0
P03431	Q12800	2047	869	0
P03485	Q12800	2047	91	0
P03508	Q12800	2047	79	0
P06821	Q12800	2047	186	0
P0C6Z9	Q12800	2047	32	0
Q12800	Q1HVD1	2047	2047	2
Q12800	Q1HVG4	110	2047	17
Q12800	Q1HVH2	30	2047	0
Q12800	Q20MC8	1648	2047	0
Q12800	Q20MD1	103	2047	0
P0C705	Q12805	2047	101	0
P0C723	Q12805	2047	27	0
P0CK48	Q12805	2047	126	1
Q12805	Q1H8W6	2047	2047	2
Q12805	Q69027	947	2047	1
Q12805	Q8JSN5	651	2047	0
H9XIJ5	Q12824	2047	673	1
Q12824	Q69022	40	2047	0
P03120	Q12834	2047	1337	1
P06422	Q12834	2047	1554	1
P06423	Q12834	2047	1497	1
P06428	Q12834	2047	632	1
P06921	Q12834	2047	1882	1
P36780	Q12834	2047	1546	1
A0A097NZ28	Q12873	2047	293	0
P14335	Q12873	2047	2047	16
P06428	Q12874	2047	632	1
Q12879	Q8JSN5	651	2047	0
P10204	Q12893	1500	25	0
P06429	Q12894	1782	422	0
F5CGQ0	Q12906	2047	184	0
O92551	Q12906	2047	181	0
P03466	Q12906	2047	233	0
Q0A2H0	Q12906	2047	183	0
Q12906	Q1HVI8	20	2047	0
Q12906	Q20MH3	183	2047	0
Q12906	Q2PJP0	185	2047	0
Q12906	Q3SBS4	205	2047	0
